Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,KL_divergence
"(80.54621848739495, 27.52941176470588, 0.15378151260504203, 0.8134453781512605, 0.61)",80.54621848739495,27.52941176470588,0.15378151260504203,0.8134453781512605,0.61,2.958718784650167,2.33577326163325
"(34.24369747899159, 16.0, 0.4327731092436975, 0.8873949579831933, 0.71)",34.24369747899159,16.0,0.4327731092436975,0.8873949579831933,0.71,2.2762149453163145,2.66636623799155
"(57.39495798319327, 9.411764705882353, 0.2949579831932773, 0.9966386554621849, 0.66)",57.39495798319327,9.411764705882353,0.2949579831932773,0.9966386554621849,0.66,2.4613529801368714,3.6914667150877136
"(37.89915966386555, 5.411764705882353, 0.33865546218487397, 0.8184873949579833, 0.61)",37.89915966386555,5.411764705882353,0.33865546218487397,0.8184873949579833,0.61,2.609329704443614,2.618137417015028
"(5.0, 31.764705882352942, 0.33193277310924374, 0.9680672268907563, 0.29)",5.0,31.764705882352942,0.33193277310924374,0.9680672268907563,0.29,6.531145445505778,3.3296409502524007
"(14.747899159663865, 12.705882352941176, 0.2983193277310925, 0.9042016806722689, 0.39)",14.747899159663865,12.705882352941176,0.2983193277310925,0.9042016806722689,0.39,4.436346542835236,2.94909312788514
"(41.554621848739494, 20.470588235294116, 0.2848739495798319, 0.9882352941176471, 0.52)",41.554621848739494,20.470588235294116,0.2848739495798319,0.9882352941176471,0.52,3.3897826433181764,3.231173029131967
"(9.873949579831933, 12.470588235294118, 0.4126050420168067, 0.8134453781512605, 0.31)",9.873949579831933,12.470588235294118,0.4126050420168067,0.8134453781512605,0.31,5.890967929363251,3.06020172012731
"(103.69747899159663, 6.823529411764706, 0.17394957983193277, 0.9378151260504202, 0.87)",103.69747899159663,6.823529411764706,0.17394957983193277,0.9378151260504202,0.87,2.13936265707016,2.239396838742934
"(25.71428571428571, 4.0, 0.48319327731092443, 0.8773109243697479, 0.65)",25.71428571428571,4.0,0.48319327731092443,0.8773109243697479,0.65,2.1947903553644816,2.7565694095872555
"(115.88235294117646, 18.588235294117645, 0.44621848739495806, 0.880672268907563, 0.5)",115.88235294117646,18.588235294117645,0.44621848739495806,0.880672268907563,0.5,3.9711748639742535,2.158455957617022
"(112.22689075630251, 28.235294117647058, 0.48991596638655466, 0.8, 0.91)",112.22689075630251,28.235294117647058,0.48991596638655466,0.8,0.91,2.184082849820455,2.1535930398007395
"(75.67226890756302, 12.941176470588236, 0.4294117647058824, 0.8890756302521009, 0.87)",75.67226890756302,12.941176470588236,0.4294117647058824,0.8890756302521009,0.87,2.104033088684082,2.346754946580086
"(123.19327731092436, 17.176470588235293, 0.23445378151260507, 0.9882352941176471, 0.75)",123.19327731092436,17.176470588235293,0.23445378151260507,0.9882352941176471,0.75,2.5315637429555258,3.1477102347613406
"(8.655462184873949, 5.176470588235294, 0.17058823529411765, 0.8420168067226891, 0.48)",8.655462184873949,5.176470588235294,0.17058823529411765,0.8420168067226891,0.48,3.078952972094218,3.0823827524946505
"(37.89915966386555, 29.88235294117647, 0.11680672268907563, 0.9798319327731093, 0.66)",37.89915966386555,29.88235294117647,0.11680672268907563,0.9798319327731093,0.66,2.4866029262542724,3.073362108222094
"(33.02521008403361, 15.529411764705882, 0.26806722689075635, 0.9596638655462185, 0.4)",33.02521008403361,15.529411764705882,0.26806722689075635,0.9596638655462185,0.4,4.759253184000651,2.82286877924631
"(58.613445378151255, 6.823529411764706, 0.40588235294117647, 0.8957983193277311, 0.95)",58.613445378151255,6.823529411764706,0.40588235294117647,0.8957983193277311,0.95,1.7665047208468119,2.461997579056751
