Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence
pipeline_330,"(25, 32, 0.1, 1.0, 0.5)",25,32,0.1,1.0,1.0,32.98219511906306,14.055973319212596,3.3272846272522845
pipeline_331,"(25, 32, 0.1, 1.0, 0.75)",25,32,0.1,1.0,1.0,17.198826618989308,14.055973319212596,3.3141877546685876
pipeline_332,"(25, 32, 0.1, 1.0, 1.0)",25,32,0.1,1.0,1.0,11.476953407128653,14.055973319212596,3.35055843877511
pipeline_333,"(25, 32, 0.3, 0.8, 0.25)",25,32,0.3,0.8,0.8,96.84200937350592,14.055973319212596,3.3041978231633404
pipeline_334,"(25, 32, 0.3, 0.8, 0.5)",25,32,0.3,0.8,0.8,32.95803282260895,14.055973319212596,3.3272846272522845
pipeline_335,"(25, 32, 0.3, 0.8, 0.75)",25,32,0.3,0.8,0.8,17.22791531483332,14.055973319212596,3.3141877546685876
pipeline_336,"(25, 32, 0.3, 0.8, 1.0)",25,32,0.3,0.8,0.8,11.476688913504283,14.055973319212596,3.35055843877511
pipeline_337,"(25, 32, 0.3, 0.9, 0.25)",25,32,0.3,0.9,0.9,96.60392275651296,14.055973319212596,3.3041978231633404
pipeline_338,"(25, 32, 0.3, 0.9, 0.5)",25,32,0.3,0.9,0.9,32.969089178244275,14.055973319212596,3.3272846272522845
pipeline_339,"(25, 32, 0.3, 0.9, 0.75)",25,32,0.3,0.9,0.9,17.209521583716075,14.055973319212596,3.3141877546685876
pipeline_340,"(25, 32, 0.3, 0.9, 1.0)",25,32,0.3,0.9,0.9,11.472655646006267,14.055973319212596,3.35055843877511
pipeline_341,"(25, 32, 0.3, 1.0, 0.25)",25,32,0.3,1.0,1.0,96.76850115855535,14.055973319212596,3.3041978231633404
pipeline_342,"(25, 32, 0.3, 1.0, 0.5)",25,32,0.3,1.0,1.0,32.963232763608296,14.055973319212596,3.3272846272522845
pipeline_343,"(25, 32, 0.3, 1.0, 0.75)",25,32,0.3,1.0,1.0,17.204920252164204,14.055973319212596,3.3141877546685876
pipeline_344,"(25, 32, 0.3, 1.0, 1.0)",25,32,0.3,1.0,1.0,11.466372752189637,14.055973319212596,3.35055843877511
pipeline_345,"(25, 32, 0.5, 0.8, 0.25)",25,32,0.5,0.8,0.8,96.82071916262309,14.055973319212596,3.3041978231633404
pipeline_346,"(25, 32, 0.5, 0.8, 0.5)",25,32,0.5,0.8,0.8,32.927311877409615,14.055973319212596,3.3272846272522845
pipeline_347,"(25, 32, 0.5, 0.8, 0.75)",25,32,0.5,0.8,0.8,17.207598773638406,14.055973319212596,3.3141877546685876
pipeline_348,"(25, 32, 0.5, 0.8, 1.0)",25,32,0.5,0.8,0.8,11.470142126083374,14.055973319212596,3.35055843877511
pipeline_349,"(25, 32, 0.5, 0.9, 0.25)",25,32,0.5,0.9,0.9,96.68930815458297,14.055973319212596,3.3041978231633404
pipeline_350,"(25, 32, 0.5, 0.9, 0.5)",25,32,0.5,0.9,0.9,32.967487609386446,14.055973319212596,3.3272846272522845
pipeline_351,"(25, 32, 0.5, 0.9, 0.75)",25,32,0.5,0.9,0.9,17.223472793896992,14.055973319212596,3.3141877546685876
pipeline_352,"(25, 32, 0.5, 0.9, 1.0)",25,32,0.5,0.9,0.9,11.467491741975149,14.055973319212596,3.35055843877511
