Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence,trust_k30,trust_k300,stress
pipeline_35,"(65, 4, 0.5, 1.0, 1.0)",65,4,0.5,1.0,1.0,8.170208382606507,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_36,"(65, 11, 0.1, 0.8, 0.25)",65,11,0.1,0.8,0.25,60.704796663920085,12.298686297734578,2.936716374948242,0.6340248611548518,0.6100687464256449,0.5735397172203497
pipeline_37,"(65, 11, 0.1, 0.9, 0.25)",65,11,0.1,0.9,0.25,81.21163839499155,12.298686297734578,2.942395839929075,0.6341817317832308,0.6105727972814253,0.5677122452836482
pipeline_38,"(65, 11, 0.1, 1.0, 0.25)",65,11,0.1,1.0,0.25,61.16096167961757,12.298686297734578,2.942395839929075,0.6341817317832308,0.6105727972814253,0.5677122452836482
pipeline_39,"(65, 11, 0.3, 0.8, 0.25)",65,11,0.3,0.8,0.25,61.22420268456141,12.298686297734578,2.942395839929075,0.6341817317832308,0.6105727972814253,0.5677122452836482
pipeline_40,"(45, 11, 0.5, 0.8, 0.75)",45,11,0.5,0.8,0.75,11.936184589068096,10.829813655217489,3.0791420742214743,0.6351743844577693,0.6075365775777322,0.5765225218133259
pipeline_41,"(45, 11, 0.5, 0.9, 0.75)",45,11,0.5,0.9,0.75,11.24125879208247,10.829813655217489,3.0809580363637625,0.6350086104426449,0.6070676466739301,0.5702971829826256
pipeline_42,"(45, 11, 0.5, 1.0, 0.75)",45,11,0.5,1.0,0.75,11.270943037668864,10.829813655217489,3.0809580363637625,0.6350086104426449,0.6070676466739301,0.5702971829826256
pipeline_43,"(45, 11, 0.1, 0.8, 1.0)",45,11,0.1,0.8,1.0,7.786945501963298,10.829813655217489,3.1018637270722387,0.633699202566335,0.6066522122009401,0.6139984356992999
pipeline_44,"(45, 11, 0.1, 0.9, 1.0)",45,11,0.1,0.9,1.0,7.825438825289408,10.829813655217489,3.1018637270722387,0.633699202566335,0.6066522122009401,0.6139984356992999
pipeline_45,"(45, 11, 0.1, 1.0, 1.0)",45,11,0.1,1.0,1.0,7.74478311141332,10.829813655217489,3.1018637270722387,0.633699202566335,0.6066522122009401,0.6139984356992999
